aau_name;kilde;artikel_id;url;UDD5;UDD5tx;Titel;Educational_Category;displaydocclass;kaldenavn;instpostdistriktconcat;instbelkomconcat;hovedinst;hovedinsttx;instpostnr;instpostdistrikt;instkommunetx;instkommune;insttx;inst;timetal_WithFewStudents;timetal_WithManyStudents;timetal_PerStudent;timetal_statusaar;uddaktivitet_undervisning_pct;uddaktivitet_praktik_pct;uddaktivitet_opgaver_pct;uddaktivitet_udlandsophold_pct;uddaktivitet_statusaar;forskerdaekning_VipLessons_pct;forskerdaekning_DVipLessons_pct;forskerdaekning_OtherLessons_pct;forskerdaekning_statusaar;maanedloenp25_nyudd;maanedloen_nyudd;maanedloenp75_nyudd;maanedloen_nyudd_n;maanedloen_nyudd_statusaar;ledighed_nyudd;ledighed_nyudd_statusaar;ledighed_nyudd_n;studietid;studietidtx;studietid_n;studietid_statusaar;afbrud;afbrud_statusaar;afbrud_n;branchetxt1;branchetxt2;branchetxt3;branchetxt4;branchepct1;branchepct2;branchepct3;branchepct4;offt_privat;branche_statusaar;branche_n;maanedloenp25_10aar;maanedloen_10aar;maanedloenp75_10aar;maanedloen_10aar_n;maanedloen_10aar_statusaar;ledighed_10aar;ledighed_10aar_statusaar;ledighed_10aar_n;ivaerksaetteri;ivaerksaetteri_statusaar;ivaerksaetteri_n;arbejdsform_andet_pct;arbejdsform_andet_pct2;arbejdsform_faste_aften_nat_pct;arbejdsform_fastedagtimer_pct;arbejdsform_fleksible_pct;arbejdsform_skiftende_pct;arbejdsform_tilretteselv_pct;arbejdsform_n;arbejdsform_statusaar;arbejdstid_timer;arbejdstid_n;arbejdstid_statusaar;dimbesvarelser_antal;dimbesvarelser_pct;fagligmiljo_likert;fagligmiljo_n;fagligmiljo_statusaar;fagligtmotivation_likert;fagligtmotivation_n;fagligtmotivation_statusaar;foerstejob1pct;foerstejob2pct;foerstejob3pct;foerstejob4pct;foerstejob1tx;foerstejob2tx;foerstejob3tx;foerstejob4tx;foerstejob_n;foerstejob_statusaar;jobskabende_p1;jobskabende_p2;jobskabende_p3;jobskabende_p4;jobskabende_p5;jobskabende_n;jobskabende_statusaar;kompetencerudd_p1;kompetencerudd_p2;kompetencerudd_p3;kompetencerudd_p4;kompetencerudd_p5;kompetencerudd_n;kompetencerudd_statusaar;kvalitet_likert;kvalitet_n;kvalitet_statusaar;medstuderende_likert;medstuderende_n;medstuderende_statusaar;relevans_overens_udd_job_likert;relevans_overens_udd_job_n;rel_over_udd_job_statusaar;ruster_til_job_likert;ruster_til_job_n;ruster_til_job_statusaar;socialtmiljo_likert;socialtmiljo_n;socialtmiljo_statusaar;socialtmotivation_likert;socialtmotivation_n;socialtmotivation_statusaar;studbesvarelser_antal;studbesvarelser_pct;tidsforbrug_frivilligtxt;tidsforbrug_selvstudiumtxt;tidsforbrug_studiejobtxt;tidsforbrug_undervisningtxt;tidsforbrug_n;tidsforbrug_statusaar;udbytte_undervisning_likert;udbytte_undervisning_n;udb_undervisning_statusaar;udlandet_dk25_pct;udlandet_dk_pct;udlandet_udlandet_pct;udlandet_n;udlandet_statusaar;undervisere_engagerede_likert;undervisere_engagerede_n;und_engagerede_statusaar;undervisere_faglighed_likert;undervisere_faglighed_n;und_faglighed_statusaar;undervisere_feedback_likert;undervisere_feedback_n;und_feedback_statusaar;undervisere_formidling_likert;undervisere_formidling_n;und_formidling_statusaar;undervisere_kontakt_likert;undervisere_kontakt_n;und_kontakt_statusaar;undervisningsform_p1;undervisningsform_p2;undervisningsform_p3;undervisningsform_p4;undervisningsform_p5;undervisningsform_n;undervisningsform_statusaar
Anvendt filosofi;bach_hum;udb2-humanvendtfilosofi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/anvendt-filosofi;65680;Anvendt filosofi,bach.;Anvendt filosofi;Universitetsuddannelser;Bacheloruddannelse;;Aalborg;851;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;30;94,17;3,33;E2015/F2016;91,67;0;8,33;0;E2015/F2016;83,35;14,49;2,16;E2015/F2016;;;;;Ingen data;;Ingen data;;3;2 år og 10 måneder;78;2013-2015;18;2013-2015;211;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;3,97;36;2016/2017;3,78;36;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4,14;28;2016/2017;3,76;34;2016/2017;;;Ingen data;;;Ingen data;4,11;35;2016/2017;4,19;36;2016/2017;45;26;3;34;5;24;28;2016/2017;4,06;34;2016/2017;;;;;Ingen data;4,5;34;2016/2017;4,59;34;2016/2017;3,68;34;2016/2017;4,03;34;2016/2017;3,91;34;2016/2017;Forelæsninger;Selvstudie;Projektarbejde;Gruppearbejde;Klasseundervisning;33;2016/2017
Arkitektur og Design;bach_tek;udb2-civarkitekturogdesign;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/arkitektur-og-design;79180,793;Arkitektur og design,ing.bach;Arkitektur og design;Universitetsuddannelser;Bacheloruddannelse;;Aalborg;851;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;0;156;28,5;E2015/F2016;88,89;0;11,11;0;E2015/F2016;91,47;7,39;1,14;E2015/F2016;;;;;Ingen data;;Ingen data;;3;2 år og 9 måneder;774;2013-2015;25;2013-2015;706;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;4,06;85;2016/2017;3,88;85;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;3,97;75;2016/2017;3,73;83;2016/2017;;;Ingen data;;;Ingen data;3,79;85;2016/2017;3,85;84;2016/2017;94;28;1;34;5;31;75;2016/2017;3,7;83;2016/2017;;;;;Ingen data;3,98;83;2016/2017;4,29;82;2016/2017;3,29;82;2016/2017;3,37;83;2016/2017;3,84;83;2016/2017;Gruppearbejde;Projektarbejde;Forelæsninger;Selvstudie;Faglig vejledning fra din underviser;70;2016/2017
Biologi;bach_nat;udb2-natvidbiologi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/biologigeografigeologimv/biologi;81390;Biologi,bach.;Biologi;Universitetsuddannelser;Bacheloruddannelse;;Aalborg,København K,Odense M,Aarhus C,København K;851,101,461,751,101;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;69,33;95,33;28,17;E2015/F2016;91,67;0;8,33;0;E2015/F2016;92,29;6,69;1,02;E2015/F2016;;;;;Ingen data;;Ingen data;;3;2 år og 11 måneder;62;2013-2015;17;2013-2015;137;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;3,81;32;2016/2017;3,72;32;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4;27;2016/2017;3,43;30;2016/2017;;;Ingen data;;;Ingen data;3,81;32;2016/2017;4,03;32;2016/2017;38;32;1;39;3;33;28;2016/2017;3,55;31;2016/2017;;;;;Ingen data;4,03;32;2016/2017;4,44;32;2016/2017;3,67;30;2016/2017;3,56;32;2016/2017;3,81;31;2016/2017;Projektarbejde;Forelæsninger;Gruppearbejde;Selvstudie;Øvelsestimer;27;2016/2017
Bioteknologi;bach_tek;udb2-civbioteknologi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/bioteknologi;79330,82650,79210;Bioteknologi,ing.bach.;Bioteknologi;Universitetsuddannelser;Bacheloruddannelse;Biotechnology,medicinsk bioteknologi;Kgs. Lyngby,Aalborg,Kgs. Lyngby,Aarhus C;173,851,173,751;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;82,33;82,33;28,17;E2015/F2016;91,67;0;8,33;0;E2015/F2016;93,05;5,93;1,02;E2015/F2016;;;;;Ingen data;;Ingen data;;3;2 år og 9 måneder;45;2013-2015;23;2013-2015;111;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;3,97;37;2016/2017;3,89;37;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4,1;31;2016/2017;3,62;37;2016/2017;;;Ingen data;;;Ingen data;3,86;37;2016/2017;4,05;37;2016/2017;45;36;4;33;4;33;32;2016/2017;3,83;36;2016/2017;;;;;Ingen data;4,11;36;2016/2017;4,24;37;2016/2017;3,69;36;2016/2017;3,72;36;2016/2017;3,73;37;2016/2017;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Øvelsestimer;27;2016/2017
By-, energi- og miljøplanlægning;bach_tek;udb2-civplanogmiljoe;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/energi-og-miljoeplanlaegning;79300,3124;Ingeniør una,bach.;By-, energi- og miljøplanlægning;Universitetsuddannelser;Bacheloruddannelse;;Aalborg,København SV;851,101;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;156;0;30,33;E2015/F2016;91,67;0;8,33;0;E2015/F2016;93,51;6,49;0;E2015/F2016;;;;;Ingen data;;Ingen data;;3;2 år og 9 måneder;661;2013-2015;40;2013-2015;425;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;4,2;20;2016/2017;4,3;20;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4;20;2016/2017;3,6;20;2016/2017;;;Ingen data;;;Ingen data;3,75;20;2016/2017;3,8;20;2016/2017;21;48;2;33;7;25;20;2016/2017;3,45;20;2016/2017;;;;;Ingen data;4,05;20;2016/2017;4,35;20;2016/2017;3,2;20;2016/2017;3,55;20;2016/2017;3,9;20;2016/2017;Projektarbejde;Forelæsninger;Selvstudie;Gruppearbejde;Klasseundervisning;16;2016/2017
By-, energi- og miljøplanlægning;bach_tek;udb2-civplanogmiljoe;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/energi-og-miljoeplanlaegning;79300,3124;Ingeniør una,bach.;By-, energi- og miljøplanlægning;Universitetsuddannelser;Bacheloruddannelse;;Aalborg,København SV;851,101;851446;Aalborg Universitet;2450;København SV;Københavns Kommune;101;Aalborg Universitet - København SV;151413;130;26;30,33;E2015/F2016;91,67;0;8,33;0;E2015/F2016;90,62;9,38;0;E2015/F2016;;;;;Ingen data;;Ingen data;;3;2 år og 9 måneder;661;2013-2015;40;2013-2015;425;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;3,91;32;2016/2017;4,09;32;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;3,47;30;2016/2017;3,78;32;2016/2017;;;Ingen data;;;Ingen data;3,5;32;2016/2017;3,59;32;2016/2017;37;39;3;18;7;34;32;2016/2017;3,5;32;2016/2017;;;;;Ingen data;3,88;33;2016/2017;3,67;33;2016/2017;3,12;33;2016/2017;3,09;33;2016/2017;3,88;33;2016/2017;Projektarbejde;Gruppearbejde;Selvstudie;Klasseundervisning;Forelæsninger;31;2016/2017
Byggeri og anlæg;bach_tek;udb2-civbygning;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/byggeri-og-anlaeg;79350,79440,79480,79510,79530;"Bygge og anlæg,ing.bach; Byggeri og anlæg, indeklima og ernergi, ingeniør, bach.";Byggeri og anlæg;Universitetsuddannelser;Bacheloruddannelse;Bygge- og anlægskonstruktion,Indeklima og energi,Teknisk videnskab (civilingeniør) i bygge- og anlægskonstruktion,Vand og miljø,Veje og trafik;Aalborg,Esbjerg;851,561;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;78;75,83;30,33;E2015/F2016;90,97;0;9,03;0;E2015/F2016;91,21;7,72;1,06;E2015/F2016;;;;;Ingen data;;Ingen data;;3;2 år og 6 måneder;161;2013-2015;12;2013-2015;244;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;4,18;39;2016/2017;4,13;39;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4,35;37;2016/2017;3,97;38;2016/2017;;;Ingen data;;;Ingen data;4,08;40;2016/2017;4,1;40;2016/2017;46;30;1;21;5;31;37;2016/2017;3,97;39;2016/2017;;;;;Ingen data;4,25;40;2016/2017;4,44;39;2016/2017;3,64;39;2016/2017;3,74;39;2016/2017;4,05;37;2016/2017;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Faglig vejledning fra din underviser;27;2016/2017
Byggeri og anlæg;bach_tek;udb2-civbygning;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/byggeri-og-anlaeg;79350,79440,79480,79510,79530;"Bygge og anlæg,ing.bach; Byggeri og anlæg, indeklima og ernergi, ingeniør, bach.";Byggeri og anlæg;Universitetsuddannelser;Bacheloruddannelse;Bygge- og anlægskonstruktion,Indeklima og energi,Teknisk videnskab (civilingeniør) i bygge- og anlægskonstruktion,Vand og miljø,Veje og trafik;Aalborg,Esbjerg;851,561;851446;Aalborg Universitet;6700;Esbjerg;Esbjerg Kommune;561;Aalborg Universitet - Esbjerg;561408;95,33;60,67;30,33;E2015/F2016;91,67;0;8,33;0;E2015/F2016;80,98;19,02;0;E2015/F2016;;;;;Ingen data;;Ingen data;;3;2 år og 6 måneder;161;2013-2015;12;2013-2015;244;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;Ingen data
Bæredygtigt Design;bach_tek;udb2-civbaeredygtigtdesign;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/baeredygtigt-design;79010;Bæredygtigt design,ing.bach.;Bæredygtigt design;Universitetsuddannelser;Bacheloruddannelse;;København SV;101;851446;Aalborg Universitet;2450;København SV;Københavns Kommune;101;Aalborg Universitet - København SV;151413;138,67;17,33;28,5;E2015/F2016;91,67;0;8,33;0;E2015/F2016;72,21;27,79;0;E2015/F2016;;;;;Ingen data;;Ingen data;;;;;Ingen data;22;2013-2015;83;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;4,29;28;2016/2017;4,14;28;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;3,86;28;2016/2017;3,71;28;2016/2017;;;Ingen data;;;Ingen data;3,64;28;2016/2017;4;28;2016/2017;33;31;1;24;7;37;28;2016/2017;3,63;27;2016/2017;;;;;Ingen data;4,11;27;2016/2017;3,89;28;2016/2017;3,46;28;2016/2017;3,57;28;2016/2017;3,71;28;2016/2017;Projektarbejde;Gruppearbejde;Klasseundervisning;Selvstudie;Forelæsninger;27;2016/2017
Dansk;bach_hum;udb2-humdansknordisk;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/dansk;65900,6592;Dansk,bach. + Nordisk sprog og litteratur,bach;Dansk;Universitetsuddannelser;Bacheloruddannelse;Nordisk sprog og litteratur,Nordisk sprog og litteratur;Aalborg,København K,Roskilde,Odense M,Aarhus C,København K;851,101,265,461,751,101;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;24;56;8;E2015/F2016;100;0;0;0;E2015/F2016;97,73;2,27;0;E2015/F2016;;;;;Ingen data;;Ingen data;;3;2 år og 11 måneder;64;2013-2015;30;2013-2015;160;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;3,73;33;2016/2017;3,67;33;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4,2;25;2016/2017;3,5;32;2016/2017;;;Ingen data;;;Ingen data;4,12;33;2016/2017;4,06;34;2016/2017;41;32;2;25;6;22;25;2016/2017;3,91;33;2016/2017;;;;;Ingen data;4,42;33;2016/2017;4,67;33;2016/2017;3,64;33;2016/2017;4,03;33;2016/2017;4,03;33;2016/2017;Selvstudie;Forelæsninger;Projektarbejde;Klasseundervisning;Gruppearbejde;29;2016/2017
Datalogi;bach_nat;udb2-natviddatalogi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/datalogi;81350,3342;Datalogi,bach.;Datalogi;Universitetsuddannelser;Bacheloruddannelse;Computer Science,Datalogi (it);Aalborg,København K,Roskilde,Odense M,Aarhus C,København K;851,101,265,461,751,101;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;0;156;30,33;E2015/F2016;91,67;0;8,33;0;E2015/F2016;90,36;5,96;3,68;E2015/F2016;;;;;Ingen data;;Ingen data;;3;3 år og 0 måneder;93;2013-2015;27;2013-2015;175;;;;;;;;;;Ingen data;;;;;;Ingen data;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;Ingen data;;;4,19;37;2016/2017;3,75;36;2016/2017;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;4,38;32;2016/2017;3,33;36;2016/2017;;;Ingen data;;;Ingen data;3,78;36;2016/2017;4,08;37;2016/2017;47;29;1;27;2;36;32;2016/2017;3,97;36;2016/2017;;;;;Ingen data;4,19;37;2016/2017;4,32;37;2016/2017;3,57;35;2016/2017;3,7;37;2016/2017;3,82;33;2016/2017;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Faglig vejledning fra din underviser;36;2016/2017
Byggeri og anlæg, diplomingeniør;PB;udb2-dipbygning;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-bygning;53350,52520,52530,52540,52550,53320;Bygning,ing.prof.bach.;Diplomingeniør - bygning;Professionsbacheloruddannelser;Professionsbacheloruddannelse;Byggeri og anlæg,Byggeri og infrastruktur,Bygningsteknik;Horsens,Kgs. Lyngby,Aarhus C,Odense M,Aarhus C,Odense M,Esbjerg,Aalborg,Kgs. Lyngby;615,173,751,461,751,461,561,851,173;851446;Aalborg Universitet;9100;Aalborg;Aalborg Kommune;851;Aalborg Universitet - Aalborg;851416;60,67;95,33;30,33;E2015/F2016;78,57;14,29;7,14;0;E2015/F2016;;;;E2015/F2016;29.600;32.200;35.900;46;2013-2015;5;2013-2016;40;3;2 år og 7 måneder;68;2013-2015;21;2013-2015;141;Videnservice;Industri;Offentlig administration forsvar og politi;Øvrige brancher;36;19;10;35;74;2012-2014;922;37.400;44.300;49.300;64;2013-2015;0;2013-2016;61;3;2011-2013;95;;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;;;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;Ingen data
Byggeri og anlæg, diplomingeniør, Esbjerg;PB;udb2-dipbygning;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-bygning;53350,52520,52530,52540,52550,53320;Bygning,ing.prof.bach.;Diplomingeniør - bygning;Professionsbacheloruddannelser;Professionsbacheloruddannelse;Byggeri og anlæg,Byggeri og infrastruktur,Bygningsteknik;Horsens,Kgs. Lyngby,Aarhus C,Odense M,Aarhus C,Odense M,Esbjerg,Aalborg,Kgs. Lyngby;615,173,751,461,751,461,561,851,173;851446;Aalborg Universitet;6700;Esbjerg;Esbjerg Kommune;561;Aalborg Universitet - Esbjerg;561408;112,67;43,33;30,33;E2015/F2016;78,57;14,29;7,14;0;E2015/F2016;;;;E2015/F2016;29.600;32.200;35.900;46;2013-2015;5;2013-2016;40;3;2 år og 7 måneder;68;2013-2015;21;2013-2015;141;Videnservice;Industri;Offentlig administration forsvar og politi;Øvrige brancher;36;19;10;35;74;2012-2014;922;37.400;44.300;49.300;64;2013-2015;0;2013-2016;61;3;2011-2013;95;0;0;0;20;53;0;27;15;2016/2017;40;15;2016/2017;17;40;;;Ingen data;;;Ingen data;67;20;7;7;Jeg fortsatte i job på den arbejdsplads, hvor jeg skrev opgave/projekt/speciale eller var i praktik;Jeg søgte og blev ansat efter et stillingsopslag;Jeg blev headhuntet;Jeg fik job gennem mit netværk;15;2016/2017;De kompetencer jeg fik fra uddannelsen;Praktik;Jeg har den uddannelse som er en forudsætning for jobbet;Netværk;Projekt i samarbejde med offentlig eller privat virksomhed;11;2016/2017;Evnen til at samarbejde;Min evne til at arbejde struktureret og overholde deadlines;Omsætte teori til praktisk;Tekniske kompetencer;Tilegnelse af ny viden;11;2016/2017;;;Ingen data;;;Ingen data;3,73;15;2016/2017;3,93;15;2016/2017;;;Ingen data;;;Ingen data;;;;;;;;Ingen data;;;Ingen data;13;87;0;15;2016/2017;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;Ingen data;;;;;;;Ingen data
