aau_name;url;UDD5;displaydocclass;instpostdistrikt;studietidtx;afbrud;afbrud_n;undervisningsform_p1;undervisningsform_p2;undervisningsform_p3;undervisningsform_p4;undervisningsform_p5;fagligmiljo_likert;fagligtmotivation_likert;kvalitet_likert;medstuderende_likert;socialtmiljo_likert;socialtmotivation_likert;udbytte_undervisning_likert;undervisere_engagerede_likert;undervisere_faglighed_likert;undervisere_feedback_likert;undervisere_formidling_likert;undervisere_kontakt_likert
Anvendt filosofi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/anvendt-filosofi;65680;Bacheloruddannelse;Aalborg;2 år og 10 måneder;18;211;Forelæsninger;Selvstudie;Projektarbejde;Gruppearbejde;Klasseundervisning;3,97;3,78;4,14;3,76;4,11;4,19;4,06;4,5;4,59;3,68;4,03;3,91
Arkitektur og Design;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/arkitektur-og-design;79180,793;Bacheloruddannelse;Aalborg;2 år og 9 måneder;25;706;Gruppearbejde;Projektarbejde;Forelæsninger;Selvstudie;Faglig vejledning fra din underviser;4,06;3,88;3,97;3,73;3,79;3,85;3,7;3,98;4,29;3,29;3,37;3,84
Art and Technology;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/oplevelsesteknologi;66810;Bacheloruddannelse;Aalborg;2 år og 10 måneder;27;121;Projektarbejde;Gruppearbejde;Selvstudie;Forelæsninger;Klasseundervisning;4;3,81;3,84;3,42;3,7;4;4,04;4,04;4,23;3,46;3,85;3,46
Biologi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/biologigeografigeologimv/biologi;81390;Bacheloruddannelse;Aalborg;2 år og 11 måneder;17;137;Projektarbejde;Forelæsninger;Gruppearbejde;Selvstudie;Øvelsestimer;3,81;3,72;4;3,43;3,81;4,03;3,55;4,03;4,44;3,67;3,56;3,81
Bioteknologi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/bioteknologi;79330,82650,79210;Bacheloruddannelse;Aalborg;2 år og 9 måneder;23;111;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Øvelsestimer;3,97;3,89;4,1;3,62;3,86;4,05;3,83;4,11;4,24;3,69;3,72;3,73
By-, energi- og miljøplanlægning, Aalborg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/energi-og-miljoeplanlaegning;79300,3124;Bacheloruddannelse;Aalborg;2 år og 9 måneder;40;425;Projektarbejde;Forelæsninger;Selvstudie;Gruppearbejde;Klasseundervisning;4,2;4,3;4;3,6;3,75;3,8;3,45;4,05;4,35;3,2;3,55;3,9
By-, energi- og miljøplanlægning, København SV;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/energi-og-miljoeplanlaegning;79300,3124;Bacheloruddannelse;København SV;2 år og 9 måneder;40;425;Projektarbejde;Gruppearbejde;Selvstudie;Klasseundervisning;Forelæsninger;3,91;4,09;3,47;3,78;3,5;3,59;3,5;3,88;3,67;3,12;3,09;3,88
Byggeri og anlæg, Aalborg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/byggeri-og-anlaeg;79350,79440,79480,79510,79530;Bacheloruddannelse;Aalborg;2 år og 6 måneder;12;244;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Faglig vejledning fra din underviser;4,18;4,13;4,35;3,97;4,08;4,1;3,97;4,25;4,44;3,64;3,74;4,05
Byggeri og anlæg, Esbjerg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/byggeri-og-anlaeg;79350,79440,79480,79510,79530;Bacheloruddannelse;Esbjerg;2 år og 6 måneder;12;244;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Byggeri og anlæg, diplomingeniør, Aalborg;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-bygning;53350,52520,52530,52540,52550,53320;Professionsbacheloruddannelse;Aalborg;2 år og 7 måneder;21;141;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Byggeri og anlæg, diplomingeniør, Esbjerg;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-bygning;53350,52520,52530,52540,52550,53320;Professionsbacheloruddannelse;Esbjerg;2 år og 7 måneder;21;141;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Bæredygtig energiteknik;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-baeredygtig-energiteknik;53470;Professionsbacheloruddannelse;Aalborg;1 år og 11 måneder;20;55;Projektarbejde;Forelæsninger;Gruppearbejde;Selvstudie;Faglig vejledning fra din underviser;3,89;3,61;3,83;3,72;3,72;3,83;3,76;4,06;4,5;3,39;3,22;3,72
Bæredygtigt Design;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/baeredygtigt-design;79010;Bacheloruddannelse;København SV;-101;22;83;Projektarbejde;Gruppearbejde;Klasseundervisning;Selvstudie;Forelæsninger;4,29;4,14;3,86;3,71;3,64;4;3,63;4,11;3,89;3,46;3,57;3,71
Dansk;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/dansk;65900,6592;Bacheloruddannelse;Aalborg;2 år og 11 måneder;30;160;Selvstudie;Forelæsninger;Projektarbejde;Klasseundervisning;Gruppearbejde;3,73;3,67;4,2;3,5;4,12;4,06;3,91;4,42;4,67;3,64;4,03;4,03
Datalogi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/datalogi;81350,3342;Bacheloruddannelse;Aalborg;3 år og 0 måneder;27;175;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Faglig vejledning fra din underviser;4,19;3,75;4,38;3,33;3,78;4,08;3,97;4,19;4,32;3,57;3,7;3,82
Eksportteknologi, diplomingeniør;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-eksportteknologi;53360,5256;Professionsbacheloruddannelse;Aalborg;1 år og 8 måneder;36;92;Gruppearbejde;Forelæsninger;Projektarbejde;Selvstudie;Faglig vejledning fra din underviser;4,04;3,96;4,19;3,63;4,22;4,26;3,74;4;4,37;3,52;3,59;3,88
Electronics and Computer Engineering, Aalborg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/elektronik-og-datateknik;79370,7907;Bacheloruddannelse;Esbjerg;-101;14;44;Projektarbejde;Gruppearbejde;Selvstudie;Forelæsninger;Klasseundervisning;3,76;3,13;3,88;3,24;3,76;4,18;4,06;4,06;4,29;3,88;3,59;4,06
Electronics and Computer Engineering, Esbjerg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/elektronik-og-it;79370,79080,81670;Bacheloruddannelse;Aalborg;2 år og 7 måneder;14;140;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Øvelsestimer;4,03;3,92;4,53;3,95;4,11;4,46;4,33;4,51;4,57;3,94;3,81;4,32
Elektronik og it;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-elektronik;53380,53370,53440,52570;Professionsbacheloruddannelse;Aalborg;2 år og 2 måneder;24;59;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Øvelsestimer;4,07;4;4;3,93;3,67;3,93;3,85;3,86;4,5;3,77;3,5;4,29
Elektronik, Diplomingeniør, Aalborg;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-elektronik;53380,53370,53440,52570;Professionsbacheloruddannelse;Esbjerg;2 år og 2 måneder;24;59;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Elektronik, Diplomingeniør, Esbjerg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/energi;79270,793;Bacheloruddannelse;Aalborg;2 år og 9 måneder;32;516;Projektarbejde;Forelæsninger;Gruppearbejde;Selvstudie;Faglig vejledning fra din underviser;4,31;4,09;4,31;3,93;4,13;4,22;4;4,27;4,6;3,71;3,8;4,14
Energi, Aalborg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/energi;79270,793;Bacheloruddannelse;Esbjerg;2 år og 9 måneder;32;516;Projektarbejde;Gruppearbejde;Forelæsninger;Klasseundervisning;Selvstudie;3,9;3,76;4,25;4;3,95;4,1;4;4,3;4,25;3,85;3,75;4,15
Energi, Esbjerg;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/sprog/engelsk;65120;Bacheloruddannelse;Aalborg;2 år og 11 måneder;29;277;Selvstudie;Forelæsninger;Projektarbejde;Gruppearbejde;Klasseundervisning;3,88;3,48;3,93;3,46;3,8;4,08;3,85;4,55;4,59;3,63;4,06;3,81
Engelsk;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-ha;57000,57180,33040;Bacheloruddannelse;Aalborg;2 år og 4 måneder;12;1129;Projektarbejde;Forelæsninger;Selvstudie;Gruppearbejde;Faglig vejledning fra din underviser;3,66;3,56;3,76;3,23;3,7;3,89;3,64;4,09;4,21;3,23;3,44;3,73
Erhvervsøkonomi, HA;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-og-erhvervsjura;56510;Bacheloruddannelse;Aalborg;3 år og 0 måneder;19;408;Forelæsninger;Selvstudie;Klasseundervisning;Projektarbejde;Gruppearbejde;3,88;3,63;4,25;3,6;4,11;4,23;3,89;4,22;4,49;3,53;3,82;3,85
Erhvervsøkonomi-jura, HA (jur.);www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/fysik;81370;Bacheloruddannelse;Aalborg;3 år og 1 måneder;20;46;Forelæsninger;Projektarbejde;Gruppearbejde;Selvstudie;Øvelsestimer;4,12;3,94;4,25;4,44;3,76;4,29;4;4,25;4,56;4;3,69;4,19
Fysik;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/biologigeografigeologimv/geografi;81860,81800,81870,81880;Bacheloruddannelse;Aalborg;3 år og 1 måneder;14;88;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Geografi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/globale-forretningssystemer;79300,4801;Bacheloruddannelse;Aalborg;2 år og 9 måneder;39;405;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Faglig vejledning fra din underviser;3,94;3,76;4,12;3,52;4,04;4;3,96;3,83;4,26;3,36;3,47;3,91
Globale Forretningssystemer;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/oevrigehumaniora/historie;65340;Bacheloruddannelse;Aalborg;2 år og 9 måneder;16;249;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Historie;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/idraet;82530;Bacheloruddannelse;Aalborg;2 år og 11 måneder;14;487;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Idræt;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/informatik;81320,8105;Bacheloruddannelse;Aalborg;2 år og 10 måneder;38;76;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Faglig vejledning fra din underviser;3,41;3,47;3,87;3,35;4,06;4;3,65;4,18;4,18;3,59;3,82;3,94
Informatik;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/informationsteknologi;81000;Bacheloruddannelse;Aalborg;1 år og 11 måneder;13;87;Forelæsninger;Projektarbejde;Gruppearbejde;Selvstudie;Faglig vejledning fra din underviser;3,69;3,61;3,69;2,92;3,65;3,82;3,71;4;4,22;3,31;3,45;3,81
Informationsteknologi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/oevrigesamfundsvidenskab/innovation-og-digitalisering;71370;Bacheloruddannelse;Aalborg;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Interaktionsdesign;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/interaktionsdesign;60170;Bacheloruddannelse;Aalborg;-101;5;41;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Faglig vejledning fra din underviser;4,34;4,16;4,33;3,77;4,06;4,06;3,97;4,31;4,38;4;3,91;4,35
International Virksomhedskommunikation i Engelsk;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-engelsk;59500,59900,59910,59930,59920,59330,59380,60460,59720,59730,59740,66180;Bacheloruddannelse;Aalborg;2 år og 10 måneder;22;679;Selvstudie;Projektarbejde;Forelæsninger;Klasseundervisning;Gruppearbejde;3,95;3,65;3,63;3,36;3,77;3,94;3,89;4,2;4,15;3,61;3,65;4,07
International Virksomhedskommunikation i Spansk;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-spansk;59500,59900,59910,59930,59350,59370,60450;Bacheloruddannelse;Aalborg;2 år og 10 måneder;-101;-101;Klasseundervisning;Selvstudie;Projektarbejde;Gruppearbejde;Forelæsninger;3,67;3,6;3,27;3,27;3,73;3,73;3,6;4,2;4,33;3,93;3,93;4,07
International Virksomhedskommunikation i Tysk;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-tysk;59500,59900,59910,59930,59360,59320,60480;Bacheloruddannelse;Aalborg;2 år og 10 måneder;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Internetteknologier og computersystemer;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/internetteknologier-og-computersystemer;79090;Bacheloruddannelse;Aalborg;2 år og 8 måneder;7;27;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
IT, Communication and New Media;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/it-kommunikations-og-medieteknologi;79420;Bacheloruddannelse;København SV;2 år og 11 måneder;15;134;Projektarbejde;Gruppearbejde;Selvstudie;Klasseundervisning;Forelæsninger;3,87;3,27;3,93;3,22;3,63;4,04;3,73;4,2;4,12;3,76;3,61;4,02
